"","Study_ID","Country","Study_Site","Habitat"
"1",16,"Gabon","Makokou","Forest"
"2",7,"Cameroon","Dja Reserve","Forest"
"3",23,"Cameroon","Dja Reserve","Forest"
"4",6,"Gabon","Lope Reserve","Forest"
"5",44,"Ivory Coast","Tai Forest","Forest"
"6",72,"Uganda","Kibale","Forest"
"7",1,"Cameroon","Dja Reserve","Forest"
"8",83,"Uganda","Kalinzu Forest Reserve","Forest"
"9",55,"Uganda","Budongo Forest","Forest"
"10",68,"Kenya","Kakamega Forest","Forest"
"11",66,"Ethiopia","Odobullu Forest","Forest"
"12",51,"Ethiopia","Bale Mountains","Forest"
"13",71,"Cameroon","Korup National Park","Forest"
"14",61,"Uganda","Kibale","Forest"
"15",27,"Sierra Leone","Tiwai","MixedSwamp"
"16",19,"Cameroon","Kala Maloue National Park","MixedSavannaGrassland"
"17",46,"Uganda","Bwindi Impenetrable National Park","Forest"
"18",41,"Uganda","Bwindi Impenetrable National Park","Forest"
"19",26,"DRC","Kahuzi-Biega National Park","Forest"
"20",13,"Gabon","Lope Reserve","Forest"
"21",14,"Congo","Nouabalé-Ndoki National Park","Forest"
"22",11,"Gabon","Lope Reserve","Forest"
"23",21,"Congo","Mondika Research Center","Forest"
"24",36,"Central African Republic","Bai Hokou","Forest"
"25",22,"Central African Republic","Dzanga-Ndoki National Park","Forest"
"26",58,"Cameroon","Dja Reserve","Forest"
"27",17,"Gabon","Logging concession","Forest"
"28",30,"Gabon","Lope Reserve","Forest"
"29",64,"Gabon","Loango National Park","Forest"
"30",65,"Gabon","Lope Reserve","Forest"
"31",12,"Gabon","Loango National Park","MixedSavannaSwamp"
"32",28,"Gabon","Lope Reserve","Forest"
"33",31,"Uganda","Bwindi Impenetrable National Park","Forest"
"34",76,"Uganda","Kibale","Forest"
"35",10,"Gabon","Loango National Park","MixedSavannaSwamp"
"36",9,"Ivory Coast","Bossematié Forest Reserve","Forest"
"37",15,"Gabon","Lope Reserve","Forest"
"38",8,"Cameroon","Santchou Reserve","MixedGrassland"
"39",18,"Cameroon","Banyang-Mbo Wildlife Sanctuary","Forest"
"40",63,"Central African Republic","Manovo Gounda St Floris National Park- Gounda ","Forest"
"41",42,"Uganda","Kibale","Forest"
"42",78,"Gabon","Makokou","MixedSavannaSwamp"
"44",35,"DRC","Kahuzi-Biega National Park","Forest"
"45",53,"Rwanda","Nyungwe National Park","Forest"
"46",45,"Uganda","Bulindi","Forest"
"47",74,"Uganda","Kalinzu Forest Reserve","Forest"
"48",57,"Nigeria","Ngel Nyaki Forest Reserve","Forest"
"49",29,"Uganda","Kibale","Forest"
"50",43,"Uganda","Kibale","Forest"
"51",47,"Tanzania","Rubondo Island","Forest"
"52",70,"Uganda","Budongo Forest","Forest"
"53",32,"Uganda","Budongo Forest","Forest"
"54",59,"Rwanda","Gishwati forest","Forest"
"55",24,"Cameroon","Ebo Forest","Forest"
"56",62,"Uganda","Budongo Forest","Forest"
"57",73,"Tanzania","Mahale Mountains National Park","Forest"
"58",52,"Ivory Coast","Comoe National Park","MixedSavanna"
"59",33,"Tanzania","Mikumi National Park","MixedSwamp"
"60",48,"Sierra Leone","Tiwai","Forest"
"61",60,"Gabon","Lope Reserve","Forest"
"62",84,"DRC","Ndoki Fores","Forest"
