Study_ID,Country,Study_Site,Habitat
25,Cameroon,Dja Reserve,Forest
72,Uganda,Kibale National Park,Forest
40,Gabon,Makokou,Forest
16,Gabon,Makokou,Forest
3,Cameroon,Dja Reserve,Forest
7,Cameroon,Dja Reserve,Forest
23,Cameroon,Dja Reserve,Forest
6,Gabon,Lope Reserve,Forest
44,Ivory Coast,Tai Forest,Forest
69,Uganda,Kibale National Park,Forest
1,Cameroon,Dja Reserve,Forest
83,Uganda,Kalinzu Forest Reserve,Forest
55,Uganda,Budongo Forest,Forest
68,Kenya,Kakamega Forest,Forest
51,Ethiopia,Bale Mountains,Forest
66,Ethiopia,Odobullu Forest,Forest
71,Cameroon,Korup National Park,Forest
61,Uganda,Kibale National Park,Forest
27,Sierra Leone,Tiwai,MixedWetland
19,Cameroon,Kala Maloue National Park,MixedSavannaGrassland
46,Uganda,Bwindi Impenetrable National Park,Forest
39,Uganda,Bwindi Impenetrable National Park,Forest
41,Uganda,Bwindi Impenetrable National Park,Forest
26,DRC,Kahuzi-Biega National Park,Forest
21,Congo,Nouabale-Ndoki National Park,Forest
13,Gabon,Lope Reserve,Forest
14,Congo,Nouabale-Ndoki National Park,Forest
30,Gabon,Lope Reserve,Forest
11,Gabon,Lope Reserve,Forest
36,Central African Republic,Bai Hokou,Forest
64,Gabon,Loango National Park,Forest
22,Central African Republic,Dzanga-Ndoki National Park,Forest
58,Cameroon,Dja Reserve,Forest
17,Gabon,Logging concession,Forest
28,Gabon,Lope Reserve,Forest
65,Gabon,Lope Reserve,Forest
12,Gabon,Loango National Park,MixedSavannaWetland
31,Uganda,Bwindi Impenetrable National Park,Forest
81,Republic of Congo,Nouabale-Ndoki National Park,Forest
81,Cameroon,Lobeke National Park,Forest
76,Uganda,Kibale National Park,Forest
9,Ivory Coast,Bossematié Forest Reserve,Forest
10,Gabon,Loango National Park,MixedSavannaWetland
15,Gabon,Lope Reserve,Forest
8,Cameroon,Santchou Reserve,MixedGrassland
42,Uganda,Kibale National Park,Forest
63,Central African Republic,Manovo Gounda St Floris National Park- Gounda ,Forest
18,Cameroon,Banyang-Mbo Wildlife Sanctuary,Forest
78,Gabon,Makokou,MixedSavannaWetland
29,Uganda,Kibale National Park,Forest
35,DRC,Kahuzi-Biega National Park,Forest
50,Uganda,Budongo Forest,Forest
43,Uganda,Kibale,Forest
45,Uganda,Bulindi,Forest
53,Rwanda,Nyungwe National Park,Forest
77,Tanzania,Issa Valley,MixedGrasslandWetland
74,Uganda,Kalinzu Forest Reserve,Forest
57,Nigeria,Ngel Nyaki Forest Reserve,Forest
37,Gabon,Makokou,Forest
47,Tanzania,Rubondo Island,Forest
70,Uganda,Budongo Forest,Forest
32,Uganda,Budongo Forest,Forest
59,Rwanda,Gishwati forest,Forest
24,Cameroon,Ebo Forest,Forest
62,Uganda,Budongo Forest,Forest
49,Uganda,Kibale National Park,Forest
38,Uganda,Kibale National Park,Forest
73,Tanzania,Mahale Mountains National Park,Forest
80,Rwanda,Nyungwe National Park,Forest
54,Ivory Coast,Comoe National Park,MixedSavanna
4,Ivory Coast,Comoe National Park,MixedSavanna
52,Ivory Coast,Comoe National Park,MixedSavanna
56,Uganda,Kibale National Park,Forest
33,Tanzania,Mikumi National Park,MixedWetland
67,Uganda,Kibale,Forest
48,Sierra Leone,Tiwai,Forest
2,Cameroon,Dja Reserve,Forest
20,Gabon,Moukalaba-Doudou National Park,MixedSavannaWetland
5,Gabon,Makokou,Forest
75,Nigeria,Ngel Nyaki Forest Reserve,Forest
60,Gabon,Lope Reserve,Forest
84,DRC,Ndoki Fores,Forest
