"","StudyZone","Lat","Long","Nb_tree","Nb_frug","Nb_sp","Nb_study"
"1","Abidjan",5.35904,-4.01107,6,1,7,1
"2","Abuko",13.39124,-16.65187,19,10,29,4
"3","Adiopodoume",5.35053,-4.12988,10,1,11,1
"4","Afi",6.35196,8.97677,32,1,33,2
"5","Amurum",9.89732,8.84765,11,7,18,1
"6","Aiyede",7.86559,5.41625,11,1,12,1
"7","Azagny",5.1857,-4.8659,8,1,9,1
"8","Bale Mountains",6.9241,39.7024,NA,NA,NA,NA
"9","Bambidie",0.30764,12.29915,1,3,4,1
"10","Banyang-Mbo",5.36263,9.63458,36,1,37,2
"11","Belinga",1.15611,13.22019,31,2,33,1
"12","Bia",6.44259,-3.07981,44,12,56,7
"13","Bili",4.27628,25.2832,15,1,16,1
"14","Bioko",3.50944,8.70297,18,1,19,1
"15","Bipindi",3.02813,10.62189,3,4,7,1
"16","Bossematie",6.6172,-3.46331,46,2,48,3
"17","Bossou",7.64814,-8.50482,25,1,26,1
"18","Budongo",1.78998,31.57968,47,47,94,10
"19","Bwindi Impenetrable National Park",-1.017,29.683,NA,NA,NA,NA
"20","Campo",2.55865,10.53495,25,7,32,4
"21","Comoe",7.2521,-3.69927,23,15,38,3
"22","Dja",3.14895,12.99968,205,19,224,13
"23","Dzanga-Ndoki",3.37132,16.35499,44,2,46,5
"24","Ebo Forest",4.319,10.33,NA,NA,NA,NA
"25","Franceville",-1.55898,13.67326,2,1,3,1
"26","Gishwati",-1.74822,29.44154,13,1,14,1
"27","Ibodi",7.58,4.67178,10,1,11,1
"28","Ituri",1.61978,27.87797,8,2,10,1
"29","Ivindo",0.23703,12.724,NA,NA,NA,NA
"30","Kakamega",0.28007,34.88715,37,83,120,6
"31","Kahusi-Biega",-1.9591,28.03067,70,7,77,7
"32","Kalinzu",-0.3972,30.06921,40,3,43,5
"33","Kasanka",-12.59449,30.19909,4,1,5,1
"34","Kibale",0.48756,30.40012,119,43,162,33
"35","Kilimanjaro",-3.17427,37.41231,1,1,2,1
"36","Kisere",0.3896,34.89332,12,1,13,1
"37","Korup",5.34135,9.0782,41,1,42,2
"38","Kumasi",6.7134,-1.60064,17,1,18,1
"39","Lama",6.94135,2.13911,19,3,22,2
"40","Lastourville",-0.70978,12.97091,13,15,28,4
"41","Lekedi",-1.61708,12.99111,36,1,37,1
"42","Loango",-2.08752,9.74972,53,3,56,5
"43","Lomako",0.91178,20.98104,18,1,19,1
"44","Lope",-0.57636,11.50423,177,28,205,20
"45","LuiKotale",-2.7588,20.3982,51,1,52,1
"46","Lwamunda",0.3236,32.32727,9,1,10,1
"47","Maan",4.42688,9.33374,1,6,7,1
"48","Mabira",0.46912,32.9937,15,39,54,4
"49","Mahale",-6.26633,29.93362,9,1,10,1
"50","Makokou",0.53052,12.75879,204,86,290,16
"51","Malebo",-2.22849,16.52399,25,1,26,2
"52","Manovo Gounda St Floris National Park",8.46054,21.76697,NA,NA,NA,NA
"53","Mawambi-Hills",6.01299,9.27186,17,1,18,2
"54","Mayombe",-4.49515,12.50192,7,1,8,1
"55","Mbale",0.08301,34.73465,15,1,16,1
"56","Mbiye",0.46146,25.27654,17,1,18,1
"57","Mgahinga",-1.37034,29.63845,3,1,4,1
"58","Mikumi National Park",-7.2,37.133,NA,NA,NA,NA
"59","Mole",9.51692,-1.94593,14,5,19,2
"60","Mondika",2.74978,16.32222,53,3,56,4
"61","Moukalaba-Doudou",-2.45766,10.33175,25,1,26,1
"62","Ndoki",2.61192,16.65112,99,43,142,6
"63","Ngel-Nyaki",7.08269,11.05102,51,24,75,6
"64","Nyika-forest",-10.79954,33.79983,46,8,54,2
"65","Nyungwe",-2.48058,29.21502,49,21,70,7
"66","Odzala",1.36423,14.85852,99,43,142,6
"67","Okomu",6.25418,5.26968,7,1,8,1
"68","Pendjari",11.26245,1.61448,4,3,7,1
"69","Rio-Muni",1.22143,9.74658,25,1,26,1
"70","Salonga",-1.93907,21.13684,8,2,10,1
"71","Samburu",0.60901,37.50012,12,1,13,1
"72","Santchou",5.27087,10.05806,14,1,15,1
"73","Sette-Cama",-2.52891,9.7761,10,1,11,1
"74","Tai",5.47301,-7.0777,198,26,224,18
"75","Taita",-3.38016,38.36271,4,4,8,1
"76","Tiwai",7.54067,-11.3481,10,5,15,6
"77","Togbota",6.66771,2.43237,7,1,8,1
"78","Toumodi",6.47458,-4.95479,27,2,29,1
"79","Tumba",-0.9715,17.72093,30,2,32,2
"80","Usambara",-4.76789,38.5699,28,15,43,2
"81","Wamba",0.03596,22.62948,50,1,51,3
"82","Wonga Wongue",-0.52619,9.44998,NA,NA,NA,NA
"83","Yalosidi",-2.70092,23.69984,18,1,19,1
"84","Zanaga",-2.57628,13.79122,8,3,11,1
